experiment,condition,sub_name,side,RT
Exp. 1,hum,100,left,1.689958949573338
Exp. 1,hum,101,left,1.853804752055112
Exp. 1,hum,102,left,2.378608993124089
Exp. 1,hum,103,left,2.2616435447562253
Exp. 1,hum,104,left,1.449470978552199
Exp. 1,hum,105,left,1.719932030318887
Exp. 1,hum,106,left,1.4109891103817065
Exp. 1,hum,107,left,1.5098074559500674
Exp. 1,hum,108,left,1.516509869677975
Exp. 1,hum,109,left,1.6286023610482516
Exp. 1,hum,110,left,2.050415801746567
Exp. 1,hum,111,left,1.6249144846417494
Exp. 1,hum,112,left,1.6547869146706944
Exp. 1,hum,113,left,1.9274739957941165
Exp. 1,hum,114,left,1.427036282362451
Exp. 1,hum,115,left,1.486119842249309
Exp. 1,hum,116,left,2.207836262861292
Exp. 1,hum,117,left,1.853171530729924
Exp. 1,hum,118,left,1.6892628892860555
Exp. 1,hum,121,left,1.4538582701406997
Exp. 1,hum,122,left,2.135625994873408
Exp. 1,hum,123,left,1.4432007343639266
Exp. 1,hum,124,left,1.5120757080712792
Exp. 2,hum,211,left,1.9813619614214983
Exp. 2,hum,212,left,1.845054525998421
Exp. 2,hum,213,left,1.9927351067599373
Exp. 2,hum,214,left,2.2097689416841604
Exp. 2,hum,215,left,1.6125869626412168
Exp. 2,hum,216,left,1.4783918257162443
Exp. 2,hum,217,left,1.2285938981804063
Exp. 2,hum,218,left,1.6363375842042842
Exp. 2,hum,219,left,1.801110116488417
Exp. 2,hum,220,left,1.728182147373445
Exp. 2,hum,221,left,1.4400236571673304
Exp. 2,hum,222,left,1.490361531963572
Exp. 2,hum,223,left,1.4118438511504792
Exp. 2,hum,224,left,2.0315304899122566
Exp. 2,hum,225,left,1.4890256845101248
Exp. 2,hum,226,left,1.3063760495570025
Exp. 2,hum,227,left,2.046499999531079
Exp. 2,hum,228,left,2.6478994801291265
Exp. 2,hum,229,left,1.9466721041535495
Exp. 2,hum,230,left,1.365652555890847
Exp. 1,hum,100,right,1.7045868799905293
Exp. 1,hum,101,right,1.894313102197657
Exp. 1,hum,102,right,2.528651121230041
Exp. 1,hum,103,right,2.454467253101029
Exp. 1,hum,104,right,1.405236395033171
Exp. 1,hum,105,right,1.7138053941453109
Exp. 1,hum,106,right,1.412447816303029
Exp. 1,hum,107,right,1.525258256378038
Exp. 1,hum,108,right,1.6309690515699913
Exp. 1,hum,109,right,1.559756704215033
Exp. 1,hum,110,right,1.8586150568717128
Exp. 1,hum,111,right,1.5660467224165586
Exp. 1,hum,112,right,1.5169891577788803
Exp. 1,hum,113,right,1.880237124105406
Exp. 1,hum,114,right,1.4248686034068214
Exp. 1,hum,115,right,1.7195355618905523
Exp. 1,hum,116,right,2.0589880658185393
Exp. 1,hum,117,right,1.764219015008166
Exp. 1,hum,118,right,1.6432095866923646
Exp. 1,hum,121,right,1.3750192840525417
Exp. 1,hum,122,right,1.8703550286554675
Exp. 1,hum,123,right,1.5004971419148205
Exp. 1,hum,124,right,1.6699536318210448
Exp. 2,hum,211,right,1.8992915357957827
Exp. 2,hum,212,right,1.8294353743258398
Exp. 2,hum,213,right,2.0567643754329765
Exp. 2,hum,214,right,2.00700237439014
Exp. 2,hum,215,right,1.6185968521167524
Exp. 2,hum,216,right,1.5522427002288168
Exp. 2,hum,217,right,1.1848857277364004
Exp. 2,hum,218,right,1.5759911170152918
Exp. 2,hum,219,right,1.7863700903581048
Exp. 2,hum,220,right,1.8048865716409637
Exp. 2,hum,221,right,1.5159209601697512
Exp. 2,hum,222,right,1.6617278264893685
Exp. 2,hum,223,right,1.535074574931059
Exp. 2,hum,224,right,2.328834002430085
Exp. 2,hum,225,right,1.3506960358499782
Exp. 2,hum,226,right,1.449034613702679
Exp. 2,hum,227,right,2.1337880880746525
Exp. 2,hum,228,right,2.48974861370516
Exp. 2,hum,229,right,2.1387174132978544
Exp. 2,hum,230,right,1.520792714029085
