experiment,condition,sub_name,side,correct_rate
Exp. 1,hum,100,left,0.55
Exp. 1,hum,101,left,0.5388888888888889
Exp. 1,hum,102,left,0.39444444444444443
Exp. 1,hum,103,left,0.5277777777777778
Exp. 1,hum,104,left,0.29444444444444445
Exp. 1,hum,105,left,0.3611111111111111
Exp. 1,hum,106,left,0.5277777777777778
Exp. 1,hum,107,left,0.3611111111111111
Exp. 1,hum,108,left,0.7166666666666667
Exp. 1,hum,109,left,0.45555555555555555
Exp. 1,hum,110,left,0.55
Exp. 1,hum,111,left,0.45555555555555555
Exp. 1,hum,112,left,0.34444444444444444
Exp. 1,hum,113,left,0.34444444444444444
Exp. 1,hum,114,left,0.5111111111111111
Exp. 1,hum,115,left,0.5222222222222223
Exp. 1,hum,116,left,0.5
Exp. 1,hum,117,left,0.3111111111111111
Exp. 1,hum,118,left,0.39444444444444443
Exp. 1,hum,121,left,0.45
Exp. 1,hum,122,left,0.40555555555555556
Exp. 1,hum,123,left,0.46111111111111114
Exp. 1,hum,124,left,0.6166666666666667
Exp. 2,hum,211,left,0.42777777777777776
Exp. 2,hum,212,left,0.4722222222222222
Exp. 2,hum,213,left,0.40555555555555556
Exp. 2,hum,214,left,0.4888888888888889
Exp. 2,hum,215,left,0.31666666666666665
Exp. 2,hum,216,left,0.5388888888888889
Exp. 2,hum,217,left,0.49444444444444446
Exp. 2,hum,218,left,0.5888888888888889
Exp. 2,hum,219,left,0.38333333333333336
Exp. 2,hum,220,left,0.39444444444444443
Exp. 2,hum,221,left,0.40555555555555556
Exp. 2,hum,222,left,0.5611111111111111
Exp. 2,hum,223,left,0.48333333333333334
Exp. 2,hum,224,left,0.42777777777777776
Exp. 2,hum,225,left,0.4222222222222222
Exp. 2,hum,226,left,0.7722222222222223
Exp. 2,hum,227,left,0.37222222222222223
Exp. 2,hum,228,left,0.4444444444444444
Exp. 2,hum,229,left,0.37777777777777777
Exp. 2,hum,230,left,0.5444444444444444
Exp. 1,hum,100,right,0.32222222222222224
Exp. 1,hum,101,right,0.3888888888888889
Exp. 1,hum,102,right,0.29444444444444445
Exp. 1,hum,103,right,0.45
Exp. 1,hum,104,right,0.24444444444444444
Exp. 1,hum,105,right,0.29444444444444445
Exp. 1,hum,106,right,0.29444444444444445
Exp. 1,hum,107,right,0.37777777777777777
Exp. 1,hum,108,right,0.2111111111111111
Exp. 1,hum,109,right,0.4666666666666667
Exp. 1,hum,110,right,0.32222222222222224
Exp. 1,hum,111,right,0.49444444444444446
Exp. 1,hum,112,right,0.5777777777777777
Exp. 1,hum,113,right,0.39444444444444443
Exp. 1,hum,114,right,0.37222222222222223
Exp. 1,hum,115,right,0.45
Exp. 1,hum,116,right,0.45555555555555555
Exp. 1,hum,117,right,0.35555555555555557
Exp. 1,hum,118,right,0.4111111111111111
Exp. 1,hum,121,right,0.42777777777777776
Exp. 1,hum,122,right,0.5722222222222222
Exp. 1,hum,123,right,0.5
Exp. 1,hum,124,right,0.29444444444444445
Exp. 2,hum,211,right,0.42777777777777776
Exp. 2,hum,212,right,0.32222222222222224
Exp. 2,hum,213,right,0.3888888888888889
Exp. 2,hum,214,right,0.45555555555555555
Exp. 2,hum,215,right,0.28888888888888886
Exp. 2,hum,216,right,0.35555555555555557
Exp. 2,hum,217,right,0.49444444444444446
Exp. 2,hum,218,right,0.3388888888888889
Exp. 2,hum,219,right,0.3333333333333333
Exp. 2,hum,220,right,0.3
Exp. 2,hum,221,right,0.5055555555555555
Exp. 2,hum,222,right,0.3
Exp. 2,hum,223,right,0.35555555555555557
Exp. 2,hum,224,right,0.29444444444444445
Exp. 2,hum,225,right,0.5555555555555556
Exp. 2,hum,226,right,0.12777777777777777
Exp. 2,hum,227,right,0.42777777777777776
Exp. 2,hum,228,right,0.35555555555555557
Exp. 2,hum,229,right,0.49444444444444446
Exp. 2,hum,230,right,0.4
