index,experiment,condition,sub_name,LEA,REA,LI,n_condition,adjust,adjust_LI
73,experiment2,"CV Pseudo-word
tones",218,0.4888888888888889,0.45,0.041420118343195235,2,-1,-0.041420118343195235
74,experiment2,"CV Pseudo-word
tones",219,0.43333333333333335,0.49444444444444446,-0.0658682634730539,2,-1,0.0658682634730539
75,experiment2,"CV Pseudo-word
tones",220,0.29444444444444445,0.6888888888888889,-0.4011299435028248,2,-1,0.4011299435028248
76,experiment2,"CV Pseudo-word
tones",221,0.6222222222222222,0.31666666666666665,0.3254437869822486,2,-1,-0.3254437869822486
77,experiment2,"CV Pseudo-word
tones",222,0.5,0.4444444444444444,0.05882352941176473,2,-1,-0.05882352941176473
78,experiment2,"CV Pseudo-word
tones",223,0.4,0.45555555555555555,-0.06493506493506489,2,-1,0.06493506493506489
79,experiment2,"CV Pseudo-word
tones",224,0.5388888888888889,0.24444444444444444,0.37588652482269497,2,-1,-0.37588652482269497
80,experiment2,"CV Pseudo-word
tones",225,0.4166666666666667,0.4444444444444444,-0.03225806451612898,2,-1,0.03225806451612898
81,experiment2,"CV Pseudo-word
tones",226,0.5277777777777778,0.28888888888888886,0.29251700680272114,2,-1,-0.29251700680272114
82,experiment2,"CV Pseudo-word
tones",227,0.4722222222222222,0.4111111111111111,0.06918238993710693,2,-1,-0.06918238993710693
83,experiment2,"CV Pseudo-word
tones",228,0.42777777777777776,0.4111111111111111,0.01986754966887417,2,-1,-0.01986754966887417
84,experiment2,"CV Pseudo-word
tones",229,0.3388888888888889,0.5611111111111111,-0.24691358024691357,2,-1,0.24691358024691357
85,experiment2,"CV Pseudo-word
tones",230,0.6666666666666666,0.2833333333333333,0.40350877192982454,2,-1,-0.40350877192982454
86,experiment2,"Hummed
tones",211,0.42777777777777776,0.42777777777777776,0.0,0,2,0.0
87,experiment2,"Hummed
tones",212,0.4722222222222222,0.32222222222222224,0.18881118881118875,0,2,0.3776223776223775
88,experiment2,"Hummed
tones",213,0.40555555555555556,0.3888888888888889,0.020979020979020973,0,2,0.041958041958041946
89,experiment2,"Hummed
tones",214,0.4888888888888889,0.45555555555555555,0.035294117647058816,0,2,0.07058823529411763
90,experiment2,"Hummed
tones",215,0.31666666666666665,0.28888888888888886,0.045871559633027546,0,2,0.09174311926605509
91,experiment2,"Hummed
tones",216,0.5388888888888889,0.35555555555555557,0.20496894409937885,0,2,0.4099378881987577
92,experiment2,"Hummed
tones",217,0.49444444444444446,0.49444444444444446,0.0,0,2,0.0
93,experiment2,"Hummed
tones",218,0.5888888888888889,0.3388888888888889,0.2694610778443114,0,2,0.5389221556886228
94,experiment2,"Hummed
tones",219,0.38333333333333336,0.3333333333333333,0.06976744186046517,0,2,0.13953488372093034
95,experiment2,"Hummed
tones",220,0.39444444444444443,0.3,0.136,0,2,0.272
96,experiment2,"Hummed
tones",221,0.40555555555555556,0.5055555555555555,-0.10975609756097558,0,2,-0.21951219512195116
97,experiment2,"Hummed
tones",222,0.5611111111111111,0.3,0.3032258064516129,0,2,0.6064516129032258
98,experiment2,"Hummed
tones",223,0.48333333333333334,0.35555555555555557,0.15231788079470196,0,2,0.3046357615894039
99,experiment2,"Hummed
tones",224,0.42777777777777776,0.29444444444444445,0.18461538461538457,0,2,0.36923076923076914
100,experiment2,"Hummed
tones",225,0.4222222222222222,0.5555555555555556,-0.13636363636363638,0,2,-0.27272727272727276
101,experiment2,"Hummed
tones",226,0.7722222222222223,0.12777777777777777,0.7160493827160495,0,2,1.432098765432099
102,experiment2,"Hummed
tones",227,0.37222222222222223,0.42777777777777776,-0.0694444444444444,0,2,-0.1388888888888888
103,experiment2,"Hummed
tones",228,0.4444444444444444,0.35555555555555557,0.11111111111111106,0,2,0.22222222222222213
104,experiment2,"Hummed
tones",229,0.37777777777777777,0.49444444444444446,-0.13375796178343952,0,2,-0.26751592356687903
105,experiment2,"Hummed
tones",230,0.5444444444444444,0.4,0.15294117647058816,0,2,0.3058823529411763
106,experiment2,"Simple voxel
tones",211,0.49444444444444446,0.4722222222222222,0.02298850574712647,1,1,0.02298850574712647
107,experiment2,"Simple voxel
tones",212,0.46111111111111114,0.5111111111111111,-0.05142857142857136,1,1,-0.05142857142857136
108,experiment2,"Simple voxel
tones",213,0.40555555555555556,0.49444444444444446,-0.09876543209876545,1,1,-0.09876543209876545
109,experiment2,"Simple voxel
tones",214,0.5055555555555555,0.45555555555555555,0.05202312138728323,1,1,0.05202312138728323
110,experiment2,"Simple voxel
tones",215,0.3111111111111111,0.2777777777777778,0.05660377358490565,1,1,0.05660377358490565
111,experiment2,"Simple voxel
tones",216,0.5333333333333333,0.45,0.08474576271186439,1,1,0.08474576271186439
112,experiment2,"Simple voxel
tones",217,0.45555555555555555,0.5166666666666667,-0.06285714285714292,1,1,-0.06285714285714292
113,experiment2,"Simple voxel
tones",218,0.8666666666666667,0.13333333333333333,0.7333333333333334,1,1,0.7333333333333334
114,experiment2,"Simple voxel
tones",219,0.4444444444444444,0.4777777777777778,-0.03614457831325306,1,1,-0.03614457831325306
115,experiment2,"Simple voxel
tones",220,0.5333333333333333,0.37777777777777777,0.17073170731707318,1,1,0.17073170731707318
116,experiment2,"Simple voxel
tones",221,0.5055555555555555,0.43333333333333335,0.07692307692307689,1,1,0.07692307692307689
117,experiment2,"Simple voxel
tones",222,0.5388888888888889,0.37777777777777777,0.17575757575757575,1,1,0.17575757575757575
118,experiment2,"Simple voxel
tones",223,0.43333333333333335,0.48333333333333334,-0.05454545454545453,1,1,-0.05454545454545453
119,experiment2,"Simple voxel
tones",224,0.48333333333333334,0.45555555555555555,0.02958579881656806,1,1,0.02958579881656806
120,experiment2,"Simple voxel
tones",225,0.43333333333333335,0.5555555555555556,-0.12359550561797754,1,1,-0.12359550561797754
121,experiment2,"Simple voxel
tones",226,0.5555555555555556,0.4222222222222222,0.13636363636363638,1,1,0.13636363636363638
122,experiment2,"Simple voxel
tones",227,0.65,0.22777777777777777,0.48101265822784817,1,1,0.48101265822784817
123,experiment2,"Simple voxel
tones",228,0.5,0.4166666666666667,0.09090909090909088,1,1,0.09090909090909088
124,experiment2,"Simple voxel
tones",229,0.5166666666666667,0.37777777777777777,0.15527950310559013,1,1,0.15527950310559013
125,experiment2,"Simple voxel
tones",230,0.43333333333333335,0.5388888888888889,-0.10857142857142853,1,1,-0.10857142857142853
