index,experiment,condition,sub_name,LEA,REA,LI,n_condition,adjust,adjust_LI
46,experiment2,"CV word
tones",211,0.45,0.4722222222222222,-0.024096385542168648,3,-2,0.048192771084337296
47,experiment2,"CV word
tones",212,0.3611111111111111,0.4444444444444444,-0.10344827586206894,3,-2,0.20689655172413787
48,experiment2,"CV word
tones",213,0.45,0.3055555555555556,0.19117647058823528,3,-2,-0.38235294117647056
49,experiment2,"CV word
tones",214,0.5666666666666667,0.3277777777777778,0.2670807453416149,3,-2,-0.5341614906832298
50,experiment2,"CV word
tones",215,0.37222222222222223,0.29444444444444445,0.11666666666666665,3,-2,-0.2333333333333333
51,experiment2,"CV word
tones",216,0.2388888888888889,0.6888888888888889,-0.4850299401197604,3,-2,0.9700598802395208
52,experiment2,"CV word
tones",217,0.4,0.4166666666666667,-0.020408163265306117,3,-2,0.040816326530612235
53,experiment2,"CV word
tones",218,0.4111111111111111,0.38333333333333336,0.034965034965034905,3,-2,-0.06993006993006981
54,experiment2,"CV word
tones",219,0.3888888888888889,0.40555555555555556,-0.020979020979020973,3,-2,0.041958041958041946
55,experiment2,"CV word
tones",220,0.4111111111111111,0.4,0.013698630136986252,3,-2,-0.027397260273972504
56,experiment2,"CV word
tones",221,0.49444444444444446,0.35555555555555557,0.16339869281045752,3,-2,-0.32679738562091504
57,experiment2,"CV word
tones",222,0.5055555555555555,0.45,0.0581395348837209,3,-2,-0.1162790697674418
58,experiment2,"CV word
tones",223,0.4777777777777778,0.37222222222222223,0.12418300653594772,3,-2,-0.24836601307189543
59,experiment2,"CV word
tones",224,0.4388888888888889,0.4444444444444444,-0.006289308176100607,3,-2,0.012578616352201213
60,experiment2,"CV word
tones",225,0.4388888888888889,0.4722222222222222,-0.03658536585365853,3,-2,0.07317073170731705
61,experiment2,"CV word
tones",226,0.43333333333333335,0.31666666666666665,0.15555555555555559,3,-2,-0.31111111111111117
62,experiment2,"CV word
tones",227,0.2833333333333333,0.46111111111111114,-0.23880597014925378,3,-2,0.47761194029850756
63,experiment2,"CV word
tones",228,0.39444444444444443,0.4444444444444444,-0.05960264900662251,3,-2,0.11920529801324502
64,experiment2,"CV word
tones",229,0.3277777777777778,0.3888888888888889,-0.08527131782945738,3,-2,0.17054263565891475
65,experiment2,"CV word
tones",230,0.5,0.39444444444444443,0.11801242236024848,3,-2,-0.23602484472049695
66,experiment2,"CV Pseudo-word
tones",211,0.4888888888888889,0.38333333333333336,0.12101910828025472,2,-1,-0.12101910828025472
67,experiment2,"CV Pseudo-word
tones",212,0.39444444444444443,0.4166666666666667,-0.027397260273972643,2,-1,0.027397260273972643
68,experiment2,"CV Pseudo-word
tones",213,0.42777777777777776,0.4111111111111111,0.01986754966887417,2,-1,-0.01986754966887417
69,experiment2,"CV Pseudo-word
tones",214,0.45555555555555555,0.4166666666666667,0.044585987261146466,2,-1,-0.044585987261146466
70,experiment2,"CV Pseudo-word
tones",215,0.2388888888888889,0.2222222222222222,0.03614457831325306,2,-1,-0.03614457831325306
71,experiment2,"CV Pseudo-word
tones",216,0.3,0.6833333333333333,-0.3898305084745763,2,-1,0.3898305084745763
72,experiment2,"CV Pseudo-word
tones",217,0.5166666666666667,0.4166666666666667,0.10714285714285718,2,-1,-0.10714285714285718
