51,42,90,86,6,90,5,86,90
55,39,90,82,12,90,4,88,90
67,67,90,88,24,90,37,83,90
47,47,90,32,60,90,57,34,90
37,54,90,55,38,90,38,55,90
51,63,90,78,25,90,16,84,90
20,70,90,75,19,90,4,86,90
55,39,90,74,18,90,29,65,90
42,49,90,67,27,90,33,59,90
37,56,90,88,3,90,8,85,90
58,34,90,64,31,90,40,54,90
48,46,90,64,35,90,41,50,90
37,62,90,80,11,90,15,80,90
49,44,90,53,40,90,42,50,90
62,38,90,63,28,90,44,53,90
51,47,90,89,9,90,6,89,90
44,53,90,70,36,90,38,68,90
62,31,90,69,27,90,60,37,90
42,50,90,74,17,90,14,79,90
42,50,90,47,43,90,35,57,90
49,44,90,84,7,90,14,77,90
