experiment,condition,sub_name,left,right,response,RT
2,tone,30,1,2,2,2.0388701136689633
2,tone,30,1,2,2,1.3716032510856166
2,tone,30,3,4,4,1.8574706907384098
2,tone,30,4,2,3,2.120294585591182
2,tone,30,1,2,2,1.9343311509583145
2,tone,30,2,3,3,1.7598688335856423
2,tone,30,4,2,1,2.0778316357173026
2,tone,30,2,4,2,2.1363359806127846
2,tone,30,2,3,3,1.8020774432225153
2,tone,30,2,1,1,2.5608583549037576
2,tone,30,3,4,4,1.778818944003433
2,tone,30,1,4,4,1.6745182850863785
2,tone,30,1,2,1,2.0757491249823943
2,tone,30,4,3,3,2.4572697202675045
2,tone,30,2,3,3,3.1965572020271793
2,tone,30,3,2,3,1.9503545849584043
2,tone,30,2,3,3,1.677024161675945
2,tone,30,2,3,3,1.3639711200958118
2,tone,30,2,4,4,2.4166195458965376
2,tone,30,1,4,4,1.2593564647249877
2,tone,30,4,1,4,1.15304513880983
2,tone,30,2,1,2,1.703180150827393
2,tone,30,2,3,3,2.0697847986593843
2,tone,30,2,1,1,1.6150934403995052
2,tone,30,4,1,4,1.473928844439797
2,tone,30,2,3,3,2.0249442647909746
2,tone,30,4,2,3,2.189150224556215
2,tone,30,2,1,1,1.7192417518235743
2,tone,30,4,3,3,1.5046735416399315
2,tone,30,1,3,3,1.1537619740702212
2,tone,30,4,2,4,1.5232625083299354
2,tone,30,3,1,3,1.4265410596271977
2,tone,30,2,3,3,1.1340225429739803
2,tone,30,3,4,4,1.506869270815514
2,tone,30,2,1,1,1.536105246283114
2,tone,30,4,1,4,2.3390919637167826
2,tone,30,3,2,3,1.5781021729344502
2,tone,30,3,1,3,1.1215371001744643
2,tone,30,1,4,4,1.2649288568645716
2,tone,30,3,2,3,1.7679445365210995
2,tone,30,3,2,3,1.0931314991321415
2,tone,30,4,3,3,1.3334512556903064
2,tone,30,1,2,2,1.5876519586890936
2,tone,30,3,1,3,1.40087578992825
2,tone,30,2,4,4,1.8124675459694117
2,tone,30,1,2,2,2.5045753977028653
2,tone,30,1,2,2,1.2182935086311772
2,tone,30,2,3,3,1.3077292165253311
2,tone,30,1,3,3,1.2742137182503939
2,tone,30,2,3,3,1.2916313727619126
2,tone,30,4,1,4,1.0818779865512624
2,tone,30,2,4,4,1.345606344868429
2,tone,30,2,1,1,1.739888532902114
2,tone,30,2,1,2,1.579744960530661
2,tone,30,3,1,3,1.2855281695956364
2,tone,30,3,4,3,1.3414814147399738
2,tone,30,3,1,3,1.1355328684439883
2,tone,30,1,3,3,1.6277812648331746
2,tone,30,3,2,3,1.150927668204531
2,tone,30,4,2,4,1.352580655249767
2,tone,30,3,1,3,1.1949901069747284
2,tone,30,2,1,2,1.536599814426154
2,tone,30,1,3,4,1.5895497279707342
2,tone,30,4,3,3,1.3030147815588862
2,tone,30,1,3,3,1.0759213578421623
2,tone,30,1,4,4,1.290373783907853
2,tone,30,3,4,3,1.2988661172566935
2,tone,30,4,1,4,1.437919657328166
2,tone,30,2,3,3,1.1787784036714584
2,tone,30,3,1,3,1.0205839177360758
2,tone,30,4,3,3,1.3474399679107592
2,tone,30,1,3,3,1.1422772140940651
2,tone,30,1,3,3,1.1866780248237774
2,tone,30,4,2,2,1.7412166828289628
2,tone,30,1,4,4,1.6629119678400457
2,tone,30,1,4,4,1.0629208199679852
2,tone,30,1,4,4,1.113948909449391
2,tone,30,2,1,2,1.5562500822125003
2,tone,30,3,2,3,1.7072794224368408
2,tone,30,4,1,4,1.191849502385594
2,tone,30,4,1,4,1.1441621542908251
2,tone,30,1,3,3,1.4023097812896594
2,tone,30,4,1,4,1.4175137457204983
2,tone,30,1,4,4,1.1490411245031282
2,tone,30,4,1,4,1.0773216724628583
2,tone,30,4,3,3,1.3852253669174388
2,tone,30,3,2,2,1.8157030871370807
2,tone,30,1,4,4,1.4233972476795316
2,tone,30,4,1,4,1.1473563211038709
2,tone,30,4,1,4,1.1482784246327356
2,tone,30,2,4,4,1.3214725689031184
2,tone,30,4,2,4,1.4710079410579056
2,tone,30,1,4,4,1.2489993972703815
2,tone,30,3,1,3,1.2298324721632525
2,tone,30,2,4,4,1.714626743691042
2,tone,30,4,1,4,1.931112929363735
2,tone,30,3,2,2,1.5912425498245284
2,tone,30,1,2,2,1.3043284985469654
2,tone,30,2,1,2,1.1231811706675217
2,tone,30,4,3,3,1.1790786085184664
2,tone,30,2,3,3,0.9715741927502677
2,tone,30,2,1,2,1.384945689002052
2,tone,30,1,4,4,1.7147835814394057
2,tone,30,1,3,3,1.2394011811120436
2,tone,30,3,4,4,1.673499320517294
2,tone,30,2,4,4,1.703604478854686
2,tone,30,3,4,3,1.3287236707983539
2,tone,30,4,3,3,1.1529309583129361
2,tone,30,3,4,3,1.0534711024956778
2,tone,30,2,1,2,1.3527881685877219
2,tone,30,3,4,3,1.5964153102831915
2,tone,30,4,3,3,1.231031046481803
2,tone,30,3,4,3,1.031998758087866
2,tone,30,3,4,3,1.0731621031882241
2,tone,30,1,2,2,2.064323058933951
2,tone,30,2,1,2,1.4071598856244236
2,tone,30,3,2,3,1.5493607657263055
2,tone,30,3,1,3,2.280873070121743
2,tone,30,3,1,3,1.631642874213867
2,tone,30,4,3,3,1.9071869875770062
2,tone,30,2,4,2,2.2332514718873426
2,tone,30,1,2,2,1.878976070554927
2,tone,30,1,2,2,1.540004060487263
2,tone,30,4,2,2,1.7994400666793808
2,tone,30,3,2,2,1.9450163268484175
2,tone,30,4,2,2,1.5519253362435848
2,tone,30,3,1,2,1.585641612415202
2,tone,30,4,3,3,1.1318617736687884
2,tone,30,4,3,3,2.0843335082754493
2,tone,30,4,3,3,1.2519802775932476
2,tone,30,2,4,2,1.798224814236164
2,tone,30,2,3,3,1.4114724438404664
2,tone,30,4,1,4,1.869900326244533
2,tone,30,4,3,3,1.5858786331955343
2,tone,30,4,2,2,1.9351159813813865
2,tone,30,1,2,2,1.587197161046788
2,tone,30,1,3,3,2.197379237273708
2,tone,30,2,3,2,1.9521869249874726
2,tone,30,3,2,3,1.8281253457535058
2,tone,30,2,4,2,2.3824715646915138
2,tone,30,1,4,4,2.314597044023685
2,tone,30,1,3,3,2.0315147739602253
2,tone,30,2,1,2,1.5268951152684167
2,tone,30,1,2,2,1.4688975266180933
2,tone,30,4,1,4,1.4024326214566827
2,tone,30,3,1,3,1.70204123260919
2,tone,30,3,1,3,1.0737214592518285
2,tone,30,4,2,2,2.2018797441851348
2,tone,30,3,4,3,1.365189258940518
2,tone,30,3,2,3,1.1917657915037125
2,tone,30,2,3,3,1.8799241533270106
