experiment,condition,sub_name,left,right,response,RT
2,tone,224,4,2,2,2.2962723601958714
2,tone,224,2,4,2,1.98350765631767
2,tone,224,1,2,2,2.0167524570715614
2,tone,224,1,3,3,1.605992358236108
2,tone,224,4,1,4,1.6911264128284529
2,tone,224,4,3,3,2.3757621787372045
2,tone,224,3,2,3,1.789059906557668
2,tone,224,3,2,3,2.135741985461209
2,tone,224,2,4,4,2.2910986375063658
2,tone,224,2,3,2,1.6832219806383364
2,tone,224,1,2,2,1.3265648258384317
2,tone,224,2,4,4,2.477405255078338
2,tone,224,2,4,4,2.2069970181328245
2,tone,224,1,4,4,1.7332388030481525
2,tone,224,1,2,2,1.3925922528724186
2,tone,224,2,4,2,1.6353085166192614
2,tone,224,1,2,2,1.315865537733771
2,tone,224,4,2,4,1.720261357841082
2,tone,224,2,3,2,1.3510748199769296
2,tone,224,3,1,3,1.8135753531823866
2,tone,224,2,1,2,1.3475041141500697
2,tone,224,2,4,4,1.7107715489109978
2,tone,224,3,4,3,1.81899636000162
2,tone,224,2,4,2,1.4561529325437732
2,tone,224,1,2,2,1.528692495659925
2,tone,224,3,2,2,2.212936006602831
2,tone,224,3,1,2,1.2642999021336436
2,tone,224,3,4,3,0.25254252017475665
2,tone,224,3,4,3,2.9186281279544346
2,tone,224,3,4,3,1.22012232063571
2,tone,224,1,4,4,1.530556267418433
2,tone,224,1,4,4,1.1654301926027983
2,tone,224,3,4,3,1.507019693905022
2,tone,224,3,2,3,1.2596990061574616
2,tone,224,1,3,3,1.1512423060485162
2,tone,224,4,2,2,2.0781344064162113
2,tone,224,1,4,4,1.9848059781361371
2,tone,224,4,3,3,1.956602438003756
2,tone,224,2,1,2,1.5753130902303383
2,tone,224,1,3,3,1.6770549518987536
2,tone,224,1,4,4,1.546959768398665
2,tone,224,3,1,4,3.5854421174153686
2,tone,224,3,1,3,1.6691088245715946
2,tone,224,3,1,4,2.3255622185533866
2,tone,224,4,3,3,1.9197548583615571
2,tone,224,4,2,2,1.7871175555046648
2,tone,224,3,4,3,1.9400148370768875
2,tone,224,3,1,3,1.6334075399208814
2,tone,224,3,4,3,1.3550611940445378
2,tone,224,4,1,4,1.7824656632728875
2,tone,224,1,3,3,1.1943730192724615
2,tone,224,3,1,4,7.780319006124046
2,tone,224,1,2,2,2.232520845136605
2,tone,224,4,3,3,4.197075183677953
2,tone,224,4,1,4,1.3760774579714052
2,tone,224,3,4,3,1.5116808873717673
2,tone,224,1,4,4,1.1596810772898607
2,tone,224,1,4,4,1.555205138400197
2,tone,224,4,1,4,1.4943408498656936
2,tone,224,3,4,3,1.3105391467688605
2,tone,224,1,3,3,1.6386322589823976
2,tone,224,4,1,4,1.3779316077707335
2,tone,224,4,2,2,2.80898568284465
2,tone,224,4,3,3,1.508773133973591
2,tone,224,4,2,2,2.1149393288069405
2,tone,224,4,1,4,1.2507720813155174
2,tone,224,2,1,2,1.3925053345737979
2,tone,224,1,4,4,1.1537889156024903
2,tone,224,3,4,3,1.184033592173364
2,tone,224,4,2,2,2.2019236844498664
2,tone,224,1,2,2,1.3178136619972065
2,tone,224,2,3,3,1.71999867859995
2,tone,224,4,2,4,1.7551284193759784
2,tone,224,4,3,3,1.2978904515039176
2,tone,224,4,1,4,1.2344397827982903
2,tone,224,2,1,2,1.3580664498731494
2,tone,224,1,2,2,1.4004530655802228
2,tone,224,3,2,3,1.7506208563572727
2,tone,224,1,3,3,1.0773826114018448
2,tone,224,3,2,3,1.030738603323698
2,tone,224,2,4,4,1.297192860103678
2,tone,224,2,4,2,1.784471198450774
2,tone,224,4,2,4,1.6460318595636636
2,tone,224,1,3,3,1.2825700614484958
2,tone,224,2,1,2,1.421243213757407
2,tone,224,4,2,2,1.6760853800806217
2,tone,224,4,3,3,1.5742604488623329
2,tone,224,4,3,4,1.9446247134474106
2,tone,224,1,4,4,3.1751024978002533
2,tone,224,3,2,2,2.20211933075916
2,tone,224,1,2,4,2.424545146350283
2,tone,224,3,2,3,1.757482269196771
2,tone,224,2,3,2,1.838705642381683
2,tone,224,1,3,4,2.202051335654687
2,tone,224,4,2,2,2.1248858596081845
2,tone,224,3,2,2,2.15508531301748
2,tone,224,4,3,4,2.927575258887373
2,tone,224,4,2,4,1.8441388370702043
2,tone,224,4,3,3,2.9228290714672767
2,tone,224,2,1,2,1.5420926651568152
2,tone,224,3,1,3,1.5405557189369574
2,tone,224,3,2,2,2.938372370088473
2,tone,224,2,4,2,2.3508435724652372
2,tone,224,2,3,2,1.3469335325062275
2,tone,224,3,2,3,1.6316213852260262
2,tone,224,4,1,4,1.6458670034771785
2,tone,224,1,3,3,3.278954453242477
2,tone,224,1,2,2,1.8587026211316697
2,tone,224,1,4,4,2.2405574188451283
2,tone,224,1,2,2,2.8138967262930237
2,tone,224,1,2,2,1.4127441449672915
2,tone,224,2,1,2,1.2799281945917755
2,tone,224,3,4,3,3.1669620071188547
2,tone,224,2,3,2,1.4535104242968373
2,tone,224,3,2,2,1.053902807412669
