experiment,condition,sub_name,left,right,response,RT
1,hum,108,4,3,4,1.4334377221093746
1,hum,108,4,3,4,1.8371044366722344
1,hum,108,3,4,4,1.8234616233312408
1,hum,108,3,4,2,2.2534267401206307
1,hum,108,3,1,1,1.4903352714318316
1,hum,108,1,3,1,1.4706793053628644
1,hum,108,1,4,1,1.4448658555047587
1,hum,108,4,3,4,1.2526245801564073
1,hum,108,4,3,4,1.1565401856132667
1,hum,108,4,1,1,1.3702996184547374
1,hum,108,4,1,1,1.3857087232390768
1,hum,108,3,1,1,2.132825630116713
1,hum,108,2,1,2,1.8286880114137603
1,hum,108,4,1,1,1.9297855047989287
1,hum,108,3,4,4,1.2817829825326044
1,hum,108,4,3,4,1.2823923803443904
1,hum,108,3,4,4,1.561841048525821
1,hum,108,2,4,2,1.6479582607389602
1,hum,108,4,2,2,1.5906790359440492
1,hum,108,2,4,2,1.4246973538029124
1,hum,108,1,3,1,1.2802081702939176
1,hum,108,3,4,4,1.3868329018368968
1,hum,108,2,3,2,1.4005113168386742
1,hum,108,1,2,1,1.3574766055389773
1,hum,108,4,1,4,2.235056603432895
1,hum,108,4,2,2,2.334920868092013
1,hum,108,3,4,4,1.3261548409282113
1,hum,108,4,1,1,1.623786336145713
1,hum,108,4,3,4,1.519601440999395
1,hum,108,1,2,1,1.7449054342905583
1,hum,108,1,4,1,1.3628245524450904
1,hum,108,3,4,4,1.4104791406352888
1,hum,108,3,2,2,2.750940076311963
1,hum,108,2,3,2,2.162095648513059
1,hum,108,1,2,1,1.4568963305282523
1,hum,108,1,3,1,1.6375491046346724
1,hum,108,3,4,4,1.414816770113248
1,hum,108,2,4,2,1.9752433742432913
1,hum,108,1,4,1,1.174557833775907
1,hum,108,3,2,2,1.6787585091187793
1,hum,108,2,1,2,1.662387197258795
1,hum,108,2,1,2,1.3594632424064912
1,hum,108,2,4,4,1.6391768382636656
1,hum,108,1,2,1,1.8259072329747141
1,hum,108,1,3,1,1.285560286763939
1,hum,108,1,4,1,1.7152319303932018
1,hum,108,1,3,1,1.3026718565961346
1,hum,108,2,1,2,1.6227230973308906
1,hum,108,3,2,3,1.7450398225446406
1,hum,108,1,2,1,1.6839685396771529
1,hum,108,3,1,1,2.064634335652954
1,hum,108,2,4,4,2.0919382442662027
1,hum,108,1,4,1,1.5523363670654362
1,hum,108,4,2,4,1.4592149288364453
1,hum,108,4,2,4,1.2862626979258494
1,hum,108,2,3,2,1.6026774374004162
1,hum,108,1,3,1,1.2372363231879717
1,hum,108,2,1,2,1.5593976840282266
1,hum,108,4,3,4,1.3372753887961153
1,hum,108,2,1,3,2.185770112049795
1,hum,108,2,4,1,3.188698749643663
1,hum,108,1,3,1,1.2253905919242243
1,hum,108,4,2,4,1.6870610732075875
1,hum,108,4,3,4,1.5283658644839306
1,hum,108,2,4,2,9.767234732338693
1,hum,108,2,3,4,2.3063314508290205
1,hum,108,2,3,2,1.1611103484719933
1,hum,108,1,4,1,1.3293570660644036
1,hum,108,4,1,4,1.4677939670909836
1,hum,108,2,3,2,1.6312222724009189
1,hum,108,1,4,1,1.9183515981603705
1,hum,108,1,2,2,1.7472577098451438
1,hum,108,4,2,2,1.7699500806957076
