experiment,condition,sub_name,left,right,response,RT
2,tone,217,4,2,4,1.4840039373084437
2,tone,217,2,4,4,1.235657073877519
2,tone,217,1,2,1,1.4987476991664153
2,tone,217,1,3,1,2.271183032222325
2,tone,217,4,1,4,1.4578770509688184
2,tone,217,4,3,4,1.5645954069041181
2,tone,217,3,2,2,1.6821679991553538
2,tone,217,3,2,3,1.7974871233745944
2,tone,217,2,4,4,1.183698695997009
2,tone,217,2,3,3,1.294600368652027
2,tone,217,1,2,1,1.3400154785776976
2,tone,217,2,4,4,1.3552775444404688
2,tone,217,2,4,4,1.4781194543174934
2,tone,217,1,4,4,1.143975308717927
2,tone,217,1,2,1,1.2445176356413867
2,tone,217,2,4,4,1.2838356168067548
2,tone,217,1,2,1,1.2697740534204058
2,tone,217,4,2,4,1.3019323183398228
2,tone,217,2,3,2,1.0821790964982938
2,tone,217,3,1,2,1.992155840183841
2,tone,217,2,1,1,1.1979494916449767
2,tone,217,2,4,4,1.2742713674670085
2,tone,217,3,4,4,1.2432032730139326
2,tone,217,2,4,4,1.1932379281788599
2,tone,217,1,2,1,1.2640210708777886
2,tone,217,3,2,2,1.5536131982808001
2,tone,217,3,1,1,1.757620689313626
2,tone,217,3,4,4,1.2959166556829587
2,tone,217,3,4,4,1.2606588298804127
2,tone,217,3,4,4,1.2329279592668172
2,tone,217,1,4,4,1.17002842653892
2,tone,217,1,4,4,1.2615911998436786
2,tone,217,3,4,4,1.3404026029456872
2,tone,217,3,2,2,1.4428414223657455
2,tone,217,1,3,2,1.6478168847388588
2,tone,217,4,2,4,1.533900324604474
2,tone,217,1,4,4,1.2260575439431705
2,tone,217,4,3,4,1.1390899081306998
2,tone,217,2,1,1,1.2717125619237777
2,tone,217,1,3,3,1.863480443804292
2,tone,217,1,4,4,1.2745192938309629
2,tone,217,3,1,3,1.4390295141201932
2,tone,217,3,1,3,1.363190661824774
2,tone,217,3,1,3,1.2855473672680091
2,tone,217,4,3,4,1.2713799620978534
2,tone,217,4,2,4,1.4166266552638263
2,tone,217,3,4,4,1.2057673514063936
2,tone,217,3,1,3,1.222499976749532
2,tone,217,3,4,4,1.306086448370479
2,tone,217,4,1,4,1.2511484636343084
2,tone,217,1,3,1,0.9988508147071116
2,tone,217,3,1,3,1.4629183276556432
2,tone,217,1,2,3,1.4748187940567732
2,tone,217,4,3,4,1.3154819923220202
2,tone,217,4,1,4,1.3328990612353664
2,tone,217,3,4,4,1.0986856052768417
2,tone,217,1,4,4,1.1373290855262894
2,tone,217,1,4,4,1.3271980373829138
2,tone,217,4,1,4,1.1365054439520463
2,tone,217,3,4,4,1.0891944830073044
2,tone,217,1,3,3,1.2608794939587824
2,tone,217,4,1,4,1.1545431307167746
2,tone,217,4,2,4,1.3869066004117485
2,tone,217,4,3,4,1.1585599871177692
2,tone,217,4,2,3,1.1632940018898807
2,tone,217,4,1,4,1.4072763346484862
2,tone,217,2,1,1,1.5023594701779075
2,tone,217,1,4,4,1.3326270799152553
2,tone,217,3,4,4,1.250698796386132
2,tone,217,4,2,2,2.28039543775958
2,tone,217,1,2,1,1.1811196843045764
2,tone,217,2,3,3,1.8889289804792497
2,tone,217,4,2,4,1.3687063021643553
2,tone,217,4,3,3,1.7358753324951977
2,tone,217,4,1,4,1.4410212642687839
2,tone,217,2,1,1,1.2092299817304593
2,tone,217,1,2,2,1.3281060316658113
2,tone,217,3,2,3,1.3169442127109505
2,tone,217,1,3,3,1.5494754256214947
2,tone,217,3,2,3,1.2894147622282617
2,tone,217,2,4,4,1.2550517806957942
2,tone,217,2,4,4,1.4912569867738057
2,tone,217,4,2,2,1.7408550284744706
2,tone,217,1,3,3,1.6389380412001628
2,tone,217,2,1,1,1.2708372823544778
2,tone,217,4,2,4,1.3627871800563298
2,tone,217,4,3,3,1.5503128587151878
2,tone,217,4,3,4,1.5049481038295198
2,tone,217,1,4,4,1.2146474778710399
2,tone,217,3,2,2,1.3832438328827266
2,tone,217,1,2,1,1.3910469389229547
2,tone,217,3,2,3,1.353107787668705
2,tone,217,2,3,3,1.3240301604091655
2,tone,217,1,3,3,1.221003758662846
2,tone,217,4,2,4,1.2711166405351833
2,tone,217,3,2,2,1.410727418580791
2,tone,217,4,3,4,1.428129733831156
2,tone,217,4,2,4,1.2477098882663995
2,tone,217,4,3,4,1.1891566044650972
2,tone,217,2,1,1,1.5868712556548417
2,tone,217,3,1,3,1.6020117638108786
2,tone,217,3,2,2,1.3841075660602655
2,tone,217,2,4,4,1.3214357535762247
2,tone,217,2,3,2,1.695126242004335
2,tone,217,3,2,2,1.2602082004304975
2,tone,217,4,1,4,1.1754164152953308
2,tone,217,1,3,3,1.3950750209623948
2,tone,217,1,2,1,1.3670410579652525
2,tone,217,1,4,4,1.4826148439606186
2,tone,217,1,2,1,1.1876109935401473
2,tone,217,1,2,1,1.205458165059099
2,tone,217,2,1,1,1.0745825423218776
2,tone,217,3,4,4,1.4304130299715325
2,tone,217,2,3,2,1.2054793334391434
2,tone,217,3,2,2,1.1933100930473302
2,tone,217,3,2,2,1.2320738480775617
2,tone,217,4,1,4,1.3155843060230836
2,tone,217,3,4,4,1.1604507064330392
2,tone,217,2,1,1,1.7699974437709898
2,tone,217,4,3,4,1.378898225404555
2,tone,217,2,3,2,1.2166876586270519
2,tone,217,2,3,2,1.1562654653389473
2,tone,217,4,3,4,1.257078169932356
2,tone,217,1,3,3,1.615120109578129
2,tone,217,2,3,2,1.308482642431045
