experiment,condition,sub_name,left,right,response,RT
1,tone,121,4,2,2,1.334552759086364
1,tone,121,3,1,1,1.4167831728227611
1,tone,121,1,4,4,1.7019488681489747
1,tone,121,2,3,2,1.1897727320101694
1,tone,121,3,4,4,1.3730531925575633
1,tone,121,4,1,1,1.5477428275353304
1,tone,121,2,1,2,1.1359210689624888
1,tone,121,3,2,1,1.1900953891145036
1,tone,121,1,4,4,1.4910751313163928
1,tone,121,2,3,2,1.5316824579422246
1,tone,121,3,4,4,1.3091933861069265
1,tone,121,2,3,2,1.1012132997584558
1,tone,121,2,3,2,1.5946451750078268
1,tone,121,4,3,4,1.6878475339344732
1,tone,121,3,4,4,1.3419511004503875
1,tone,121,4,3,4,1.5328608299096231
1,tone,121,1,2,2,1.1933723151869344
1,tone,121,2,3,4,1.1909462929870642
1,tone,121,2,3,2,1.1656231628021487
1,tone,121,1,4,2,1.6208246615224198
1,tone,121,3,4,4,1.2826200398285437
1,tone,121,1,3,1,1.5233469356080604
1,tone,121,3,1,1,1.1608859407133423
1,tone,121,1,4,1,1.1653021093625284
1,tone,121,2,1,2,1.1033516247207444
1,tone,121,4,1,1,1.3722455876013555
1,tone,121,3,1,1,1.1762631496403628
1,tone,121,1,4,1,1.8181352536248596
1,tone,121,1,4,4,3.553387723186461
1,tone,121,1,2,2,1.2275685157219414
1,tone,121,3,4,4,1.184989965877321
1,tone,121,2,1,2,0.8055673424823908
1,tone,121,1,3,1,1.358293714825777
1,tone,121,2,4,2,1.2742768199095735
1,tone,121,3,4,4,1.4621575496803416
1,tone,121,2,4,2,2.142875836992971
1,tone,121,4,1,1,1.448463866734528
1,tone,121,4,1,1,1.4373770992351638
1,tone,121,3,2,2,1.0243641393881262
1,tone,121,1,2,1,1.4097530326089327
1,tone,121,4,3,4,1.3692040793357592
1,tone,121,3,4,4,1.2768292107939487
1,tone,121,2,4,2,1.5902424771338701
1,tone,121,4,2,2,1.1170741736077616
1,tone,121,4,1,1,1.5886333611415466
1,tone,121,2,1,2,1.4180673865830613
1,tone,121,3,2,2,1.1859463908112957
1,tone,121,1,4,4,1.2925335670843197
1,tone,121,4,2,2,1.7102824660887563
1,tone,121,3,2,2,1.4010849104561203
1,tone,121,3,2,3,1.7545993872081453
1,tone,121,1,3,4,1.542135778343436
1,tone,121,2,1,2,1.3084220239452407
1,tone,121,1,2,2,1.043043291538197
1,tone,121,3,2,2,1.4398698338372924
1,tone,121,1,2,2,1.3424777435539
1,tone,121,4,1,1,1.537804924593729
1,tone,121,3,2,2,1.1609892166452482
1,tone,121,3,1,1,1.6009264043532312
1,tone,121,3,1,1,1.3605074119714118
1,tone,121,1,3,2,1.2833705543635006
1,tone,121,1,3,1,1.8224212047934998
1,tone,121,4,2,2,1.5420103718533937
1,tone,121,2,1,1,1.1510044867300167
1,tone,121,2,3,2,1.4322915614266094
1,tone,121,1,3,1,2.94031934072882
1,tone,121,1,3,4,2.5469698617107497
1,tone,121,2,1,2,1.2314073654997628
1,tone,121,4,1,1,1.2123179962163704
1,tone,121,2,3,2,1.7424644652219285
1,tone,121,1,3,2,1.1209620954887214
1,tone,121,4,2,2,1.0732636894335883
1,tone,121,3,1,1,1.3677646309442935
1,tone,121,1,2,2,1.9990942508338776
1,tone,121,4,3,4,3.9852369942072983
1,tone,121,4,3,4,3.899364660579522
1,tone,121,3,1,1,1.2330466303665162
1,tone,121,3,1,1,1.2607845571037615
1,tone,121,2,3,2,1.4429440568383143
1,tone,121,4,1,1,1.3710110874089878
1,tone,121,4,1,1,1.3902191277920792
1,tone,121,3,2,2,1.3515612145620253
1,tone,121,1,4,4,1.3516956015664618
1,tone,121,3,2,2,1.5413605673893471
1,tone,121,2,3,2,1.2343949906680791
1,tone,121,4,2,2,0.9993598175151419
1,tone,121,4,3,4,2.061458801403205
1,tone,121,2,4,2,1.5947481302082451
1,tone,121,1,4,4,1.4508805876866973
1,tone,121,3,1,1,1.4242132667241094
1,tone,121,4,3,4,1.6418878198874154
1,tone,121,1,2,2,1.2324863103258394
1,tone,121,3,2,2,1.2595757155304454
1,tone,121,3,1,1,1.30529680444306
1,tone,121,3,1,1,1.165695327663343
1,tone,121,2,1,1,1.4960266028538172
1,tone,121,3,2,1,1.4233998885774781
1,tone,121,2,4,4,2.4970064412736974
1,tone,121,4,2,2,1.4067612379130878
1,tone,121,3,4,4,4.625765228149248
1,tone,121,4,2,2,1.224823685213778
1,tone,121,3,1,1,1.4542543750358163
1,tone,121,1,3,1,2.2993978884878743
1,tone,121,4,2,2,1.1377518112585676
1,tone,121,3,4,4,1.9844515198074077
1,tone,121,1,2,2,1.1207257154819672
1,tone,121,2,4,2,1.9669359859199176
1,tone,121,2,4,2,1.301712616437726
1,tone,121,4,3,4,2.460251114465791
1,tone,121,3,4,4,1.2696970775796217
1,tone,121,4,3,4,2.1791811758121185
1,tone,121,4,1,1,1.4063571147016773
1,tone,121,2,1,2,1.4264359443859576
1,tone,121,2,4,2,2.1040351061183173
1,tone,121,2,4,2,3.865271094509808
1,tone,121,1,2,2,1.118271148072381
1,tone,121,3,2,2,2.3301045171683654
1,tone,121,1,2,2,1.1765591859293636
1,tone,121,4,1,1,1.8514417416299693
1,tone,121,1,3,3,3.8490044937861967
1,tone,121,3,2,2,1.4502125014550984
1,tone,121,2,3,2,1.1328109238984325
1,tone,121,4,2,2,1.1580811331878067
1,tone,121,1,2,2,3.732862690158072
1,tone,121,3,4,4,4.036239267883502
1,tone,121,2,3,2,1.190244529823758
1,tone,121,4,1,1,1.386091939313701
1,tone,121,3,4,3,2.646312006852895
1,tone,121,1,4,4,4.762507052111687
1,tone,121,3,4,4,1.1472827043926372
1,tone,121,4,2,2,1.6525794446897635
1,tone,121,4,2,2,1.6515867769594479
1,tone,121,1,4,4,1.6108995878912538
1,tone,121,4,2,2,1.1362183881828969
1,tone,121,3,1,1,1.2273683785133471
1,tone,121,1,4,1,1.133943110355176
1,tone,121,2,4,2,1.06590832625443
1,tone,121,1,2,1,1.2201679292320478
1,tone,121,2,4,1,1.4058490740917478
1,tone,121,2,1,1,2.0222389644695795
1,tone,121,4,1,1,1.952863196916951
1,tone,121,1,3,2,0.9767616324133996
1,tone,121,4,1,1,1.300958253110366
1,tone,121,3,1,1,1.5013924610502727
1,tone,121,3,1,3,1.2079133739443932
1,tone,121,4,3,3,0.9931302261393284
1,tone,121,1,4,4,0.9417020194305223
1,tone,121,3,2,2,1.1509544524287776
1,tone,121,2,3,2,1.9230959943379276
1,tone,121,4,3,2,1.2655711720308318
1,tone,121,4,2,2,1.426763091747489
1,tone,121,4,3,4,1.3236218676829594
1,tone,121,1,3,1,2.5070193956689764
1,tone,121,1,4,4,2.1955975587097782
1,tone,121,4,2,2,2.2139457147059147
1,tone,121,3,4,4,1.5847415904681839
1,tone,121,4,3,4,1.2397172292148753
1,tone,121,2,4,2,1.4352426230670972
1,tone,121,3,2,2,1.5841989107266272
1,tone,121,2,3,2,1.2189562010626105
1,tone,121,2,1,1,1.5616597404423374
1,tone,121,3,4,4,2.1768244318791403
1,tone,121,4,3,4,1.3892742492371326
1,tone,121,2,4,2,1.4885326831445127
1,tone,121,1,2,2,1.7887285546075873
1,tone,121,1,3,4,2.2246969957923284
1,tone,121,2,4,2,1.3848227999897063
1,tone,121,1,2,2,1.276521628127739
1,tone,121,2,1,2,0.9987715937313624
1,tone,121,4,1,1,1.3610202635718451
1,tone,121,2,1,1,0.9617221550288377
1,tone,121,2,1,2,0.915588283121906
1,tone,121,1,3,3,1.8772325001027639
1,tone,121,2,4,1,1.191276968407692
1,tone,121,1,4,1,1.4789876777704194
1,tone,121,1,2,1,1.1020828061300563
1,tone,121,2,1,1,1.3329243991320254
1,tone,121,1,3,2,0.3923545661600656
1,tone,121,4,3,4,2.144679637738591
1,tone,121,2,3,2,1.3766123634122778
