experiment,condition,sub_name,left,right,response,RT
2,di,229,4,2,1,2.205799726827536
2,di,229,2,4,4,1.9382081555086188
2,di,229,1,2,1,1.8223698158399202
2,di,229,1,3,3,2.1400112448609434
2,di,229,4,1,4,1.5648495399509557
2,di,229,4,3,4,1.862561023212038
2,di,229,3,2,3,1.9394580468651839
2,di,229,3,2,1,2.5651202374720015
2,di,229,2,4,1,2.558583084435668
2,di,229,2,3,3,3.00150391086936
2,di,229,1,2,1,1.9187936255475506
2,di,229,2,4,4,2.6837511879275553
2,di,229,2,4,1,2.0202718457439914
2,di,229,1,4,1,2.073933462961577
2,di,229,1,2,1,1.605481753416825
2,di,229,2,4,4,1.6614616191363893
2,di,229,1,2,1,1.3362749773659743
2,di,229,4,2,4,2.101136961719021
2,di,229,2,3,3,2.3330259654903784
2,di,229,3,1,1,2.2718226636061445
2,di,229,2,1,1,1.9970069319824688
2,di,229,2,4,1,1.8669319545151666
2,di,229,3,4,3,1.753582492703572
2,di,229,2,4,1,1.9632935422705486
2,di,229,1,2,1,1.4641603196505457
2,di,229,3,2,3,1.8024658492649905
2,di,229,3,1,3,2.430303242173977
2,di,229,3,4,4,1.6202302789315581
2,di,229,3,4,4,2.2153382869437337
2,di,229,3,4,3,2.0833065254846588
2,di,229,1,4,4,1.7607918993453495
2,di,229,1,4,4,2.1157546287286095
2,di,229,3,4,3,1.5510542289703153
2,di,229,3,2,3,1.8891211342415772
2,di,229,1,3,3,2.041244490246754
2,di,229,4,2,1,1.6771437945426442
2,di,229,1,4,1,1.605014447355643
2,di,229,4,3,3,2.52412976679625
2,di,229,2,1,1,1.8479289232636802
2,di,229,1,3,1,1.8876669367891736
2,di,229,1,4,4,2.5650159997167066
2,di,229,3,1,1,1.6712926866021007
2,di,229,3,1,3,3.1575373067171313
2,di,229,3,1,1,2.4578598665539175
2,di,229,4,3,4,1.92414407141041
2,di,229,4,2,1,2.3955118733574636
2,di,229,3,4,3,1.474814063811209
2,di,229,3,1,3,2.2093710740446113
2,di,229,3,4,4,1.358699574135244
2,di,229,4,1,4,1.8281785872532055
2,di,229,1,3,1,2.020971040823497
2,di,229,3,1,1,3.3857237839256413
2,di,229,1,2,1,3.179174507269636
2,di,229,4,3,2,1.8529243192169815
2,di,229,4,1,4,2.0375114942435175
2,di,229,3,4,2,2.2474598853150383
2,di,229,1,4,1,1.8814344788552262
2,di,229,1,4,1,1.7238974929205142
2,di,229,4,1,1,1.4162426861585118
2,di,229,3,4,2,1.5147332907654345
2,di,229,1,3,3,2.069803080346901
2,di,229,4,1,4,1.8811179166659713
2,di,229,4,2,1,1.3268114684615284
