experiment,condition,sub_name,left,right,response,RT
2,di,216,1,2,1,1.7030916288786102
2,di,216,1,2,1,1.509549304639222
2,di,216,3,4,4,1.9146828075754456
2,di,216,4,2,4,2.7741038676758762
2,di,216,1,2,2,2.1627338013786357
2,di,216,2,3,3,1.666475617501419
2,di,216,4,2,4,2.4759019856574014
2,di,216,2,4,4,2.7158824082289357
2,di,216,2,3,3,3.581850564049091
2,di,216,2,1,1,2.0248830050986726
2,di,216,3,4,4,2.386210333905183
2,di,216,1,4,1,1.9295718135836069
2,di,216,1,2,1,1.7414979644818231
2,di,216,4,3,3,2.2579558294673916
2,di,216,2,3,3,1.7456087823957205
2,di,216,3,2,2,3.145463362656301
2,di,216,2,3,3,1.4658733475371264
2,di,216,2,3,3,3.085362736310344
2,di,216,2,4,3,3.5861034661065787
2,di,216,1,4,4,2.406486990628764
2,di,216,4,1,1,1.8014735054748598
2,di,216,2,1,1,1.8899290573608596
2,di,216,2,3,3,2.678750981052872
2,di,216,2,1,1,3.186412459006533
2,di,216,4,1,4,2.5166005906066857
2,di,216,2,3,3,3.219622620701557
2,di,216,4,2,4,2.1853553274122532
2,di,216,2,1,1,2.4089174953114707
2,di,216,4,3,4,1.917698326840764
2,di,216,1,3,3,2.943269622104708
2,di,216,4,2,1,1.879243560746545
2,di,216,3,1,1,1.5719591990928166
2,di,216,2,3,4,4.104245493159397
2,di,216,3,4,4,2.2790192410175223
2,di,216,2,1,1,1.8700587676721625
2,di,216,4,1,1,1.7463769347814377
2,di,216,3,2,1,2.397571612149477
2,di,216,3,1,1,1.4708260861225426
2,di,216,1,4,4,2.196630008111242
2,di,216,3,2,2,3.2462811963632703
2,di,216,3,2,2,1.7671318024513312
2,di,216,4,3,4,1.5413835273939185
2,di,216,1,2,1,2.1093101670849137
2,di,216,3,1,1,1.5207011451129802
2,di,216,2,4,4,2.0328384336607996
2,di,216,1,2,1,1.774159674969269
2,di,216,1,2,1,1.4329447883064859
2,di,216,2,3,3,1.4848911324515939
2,di,216,1,3,3,1.9981609245587606
2,di,216,2,3,3,2.266028004378313
2,di,216,4,1,4,1.6040060669765808
2,di,216,2,4,4,2.3296919596614316
2,di,216,2,1,1,1.4711153860844206
2,di,216,2,1,1,2.060854025068693
2,di,216,3,1,1,1.5412824969389476
2,di,216,3,4,4,1.4192110578005668
2,di,216,3,1,1,1.6156803793273866
2,di,216,1,3,3,2.303419224190293
2,di,216,3,2,2,1.4547769936616533
2,di,216,4,2,2,1.6473936862894334
2,di,216,3,1,1,1.340304970915895
2,di,216,2,1,1,1.5144125590741169
2,di,216,1,3,3,1.3968227037112229
2,di,216,4,3,4,1.780556347599486
2,di,216,1,3,3,1.4111805780266877
2,di,216,1,4,4,1.7209409882489126
2,di,216,3,4,4,1.9791389701422304
2,di,216,4,1,1,2.185639174946118
2,di,216,2,3,3,1.6559864086739253
2,di,216,3,1,1,1.8144746847974602
2,di,216,4,3,4,2.121260629442986
2,di,216,1,3,3,1.9364040398213547
2,di,216,1,3,3,1.3639849114988465
2,di,216,4,2,1,2.2507345557387453
2,di,216,1,4,4,1.4970398069708608
2,di,216,1,4,4,1.582977935904637
2,di,216,1,4,4,1.4719650043407455
2,di,216,2,1,1,1.40432461767341
2,di,216,3,2,1,2.791937511181459
2,di,216,4,1,1,1.5460947550600395
2,di,216,4,1,1,2.3708161755348556
2,di,216,1,3,3,1.3967733110184781
2,di,216,4,1,1,1.6904076531645842
2,di,216,1,4,4,2.2918539606034756
2,di,216,4,1,1,2.9295455135870725
2,di,216,4,3,4,2.163146583014168
2,di,216,3,2,3,2.1655905584339052
2,di,216,1,4,4,2.0517041917482857
2,di,216,4,1,1,1.907957385032205
2,di,216,4,1,1,3.1922895463067107
2,di,216,2,4,2,1.599912889272673
2,di,216,4,2,2,1.5588383868453093
2,di,216,1,4,1,3.7957359364663716
2,di,216,3,1,4,3.520502932922682
2,di,216,2,4,2,1.4286431350337807
2,di,216,4,1,1,1.4961330985242967
2,di,216,3,2,2,2.5908297681307886
2,di,216,1,2,1,1.6685680709779263
2,di,216,2,1,1,1.4432361056678928
2,di,216,4,3,4,2.1000070240115747
2,di,216,2,3,3,1.2893416693550535
2,di,216,2,1,1,3.6140199514338747
2,di,216,1,4,4,3.4487036186037585
2,di,216,1,3,3,1.3328463557409123
2,di,216,3,4,4,2.017950389854377
2,di,216,2,4,2,3.096532858471619
2,di,216,3,4,4,1.4931551048648544
2,di,216,4,3,4,1.962753750878619
2,di,216,3,4,4,1.4776198245526757
2,di,216,2,1,2,2.5635935547179542
2,di,216,3,4,4,1.5014402455999516
2,di,216,4,3,4,2.3996701595315244
2,di,216,3,4,4,2.682345100241946
2,di,216,3,4,4,1.8093894840276334
2,di,216,1,2,1,2.173685505258618
2,di,216,2,1,1,1.4006762948120013
2,di,216,3,2,2,1.7415890522825066
2,di,216,3,1,1,1.606303467968246
2,di,216,3,1,1,2.0268866159021854
2,di,216,4,3,4,1.7204534760967363
2,di,216,2,4,2,1.6947115515649784
2,di,216,1,2,4,1.8278212921577506
2,di,216,1,2,2,1.7218704686674755
2,di,216,4,2,2,1.3283429622242693
2,di,216,3,2,2,1.4590978908236139
2,di,216,4,2,2,2.64054221616243
2,di,216,3,1,1,1.3983410474611446
2,di,216,4,3,4,1.795490897464333
2,di,216,4,3,4,2.528386517573381
2,di,216,4,3,4,2.0686057890125085
2,di,216,2,4,2,1.6566051000845619
2,di,216,2,3,3,1.5109249228262343
2,di,216,4,1,1,1.7610221847135108
2,di,216,4,3,1,1.951989674998913
2,di,216,4,2,2,1.1663750681036618
2,di,216,1,2,2,1.5141595017921645
2,di,216,1,3,3,1.3764123018772807
2,di,216,2,3,3,1.711848565901164
2,di,216,3,2,2,2.0259099879476707
2,di,216,2,4,2,1.7588655848812778
2,di,216,1,4,4,1.509022663201904
2,di,216,1,3,3,2.3812460489862133
2,di,216,2,1,1,3.279662949498743
2,di,216,1,2,2,2.276647109509213
2,di,216,4,1,1,1.272080211143475
2,di,216,3,1,1,1.933416103478521
2,di,216,3,1,1,1.3496392249653582
2,di,216,4,2,4,2.935474559402792
2,di,216,3,4,4,2.5112725959625095
2,di,216,3,2,2,1.757334732596064
2,di,216,2,3,3,1.2703052820288576
2,di,216,1,3,3,1.3532737563655246
2,di,216,1,3,3,1.474075418751454
2,di,216,4,1,1,1.736525661253836
2,di,216,3,2,3,1.8359300304728094
2,di,216,4,2,2,2.360146074061049
2,di,216,2,4,2,2.456800489802845
2,di,216,2,4,3,3.4387025633768644
2,di,216,1,2,2,1.5920366814243607
2,di,216,3,2,3,3.962761769158533
2,di,216,1,3,3,2.055368551169522
2,di,216,3,2,2,2.3247963113244623
2,di,216,2,4,4,2.5471175683487672
2,di,216,2,4,2,3.544548828358529
2,di,216,3,4,4,1.5477279207552783
2,di,216,3,1,4,3.0751801469596103
2,di,216,4,2,2,1.438097021979047
2,di,216,1,4,2,2.7788141331111547
2,di,216,3,4,4,1.5635399925231468
2,di,216,1,3,3,2.623715990805067
2,di,216,4,2,2,2.924074472626671
2,di,216,3,1,4,2.8459342929709237
2,di,216,2,1,2,2.3858511144353542
2,di,216,4,2,2,2.276979066809872
2,di,216,3,4,4,2.011302905069897
2,di,216,4,3,4,2.1981329567497596
2,di,216,2,4,2,2.8720918857725337
2,di,216,1,2,2,2.432773517590249
2,di,216,1,4,4,2.657106724451296
2,di,216,1,4,4,2.2261588115652557
