experiment,condition,sub_name,left,right,response,RT
2,di,214,4,3,3,2.1582069944706745
2,di,214,1,4,1,2.788866826100275
2,di,214,2,1,1,1.5570669857552275
2,di,214,4,2,2,1.9196804485982284
2,di,214,4,1,1,2.9237033860990778
2,di,214,1,4,1,1.4090608623810112
2,di,214,3,2,3,1.5113624008372426
2,di,214,2,3,2,3.3900575104053132
2,di,214,2,3,2,1.485478071437683
2,di,214,2,1,1,1.2677929908386432
2,di,214,4,1,4,1.6199592606863007
2,di,214,4,1,1,2.126361546048429
2,di,214,2,1,1,1.4934261231683195
2,di,214,3,1,3,2.7833528071059845
2,di,214,1,3,3,1.8988704151124693
2,di,214,3,2,3,2.438808404840529
2,di,214,3,2,1,2.1439761298825033
2,di,214,2,3,3,1.9970527965924703
2,di,214,1,3,1,1.4226374343270436
2,di,214,3,1,3,2.2943537433166057
2,di,214,3,4,4,1.7153455034131184
2,di,214,3,1,3,1.8610179831157438
2,di,214,2,4,2,1.5303250199067406
2,di,214,1,4,1,1.9557201051502489
2,di,214,3,4,3,2.211320160480682
2,di,214,2,1,1,1.5400919409585185
2,di,214,1,4,1,2.4367752867401578
2,di,214,3,4,3,1.4058949199970812
2,di,214,1,2,1,1.420120652881451
2,di,214,2,1,1,1.7803555695572868
2,di,214,2,4,2,1.502011468692217
2,di,214,2,3,2,1.470156719093211
2,di,214,3,2,3,1.3300588767160662
2,di,214,4,1,4,1.0788040942279622
2,di,214,4,3,3,1.6217075690510683
2,di,214,1,3,1,1.2787055654334836
2,di,214,2,1,1,1.4089200611342676
2,di,214,2,1,1,1.204518403741531
2,di,214,2,1,1,1.6239533322514035
2,di,214,2,3,3,2.5724018088076264
2,di,214,3,1,3,2.387813992332667
2,di,214,3,4,4,1.6713356646359898
2,di,214,1,2,1,1.3945387733983807
2,di,214,3,2,3,2.375475765322335
2,di,214,4,1,4,1.4517300426959991
2,di,214,3,1,1,2.174220806453377
2,di,214,1,3,1,1.4710967836435884
2,di,214,3,4,4,1.7396027609938756
2,di,214,1,3,1,1.4739150528912432
2,di,214,4,3,2,1.9447183671290986
2,di,214,1,2,1,1.3148164244485088
2,di,214,4,2,4,3.805489707563538
2,di,214,3,4,3,2.3246824516099878
2,di,214,1,2,1,1.2417636906611733
2,di,214,1,3,3,2.7017108789877966
2,di,214,4,2,4,1.4588073079357855
2,di,214,4,2,2,1.563526521786116
2,di,214,4,3,3,2.107407907547895
2,di,214,4,3,4,1.603169598733075
2,di,214,3,4,3,1.7258712756447494
2,di,214,1,4,1,1.6086165848537348
2,di,214,3,4,4,1.5925639643101022
2,di,214,4,1,1,1.4739910663338378
2,di,214,4,2,2,1.4557779972674325
2,di,214,1,2,1,1.3314970375504345
2,di,214,2,4,2,1.455088103422895
2,di,214,2,4,2,1.799998139787931
2,di,214,4,1,4,1.3478489007684402
2,di,214,2,3,2,1.343530248675961
2,di,214,2,1,1,1.3513971553184092
2,di,214,1,3,3,1.8893950391211547
2,di,214,1,3,1,1.4113621121505275
2,di,214,1,3,3,2.543166795570869
2,di,214,4,3,4,1.9323082962655462
2,di,214,4,1,1,1.2759828742127866
2,di,214,4,2,4,1.6562106001074426
2,di,214,2,4,4,1.7838213960640132
2,di,214,3,2,3,1.721691821119748
2,di,214,3,4,3,1.3309219656512141
2,di,214,2,4,1,1.646388192428276
2,di,214,3,1,2,1.3194772971910425
2,di,214,1,2,1,1.4495699148392305
2,di,214,3,1,4,1.4706330056651495
2,di,214,4,2,1,1.7971901338896714
2,di,214,3,1,2,1.3989385705790482
2,di,214,2,4,1,1.3648999590077437
2,di,214,1,2,1,1.269972683279775
2,di,214,1,4,4,1.5693077102769166
2,di,214,3,2,3,2.502360104059335
2,di,214,3,2,3,2.4164354458334856
2,di,214,2,4,1,2.30329766694922
2,di,214,1,3,3,1.953157459036447
2,di,214,4,1,4,1.1003216617973521
2,di,214,1,3,3,2.1292150957742706
2,di,214,3,2,2,1.1693129703053273
2,di,214,1,4,1,1.092717434396036
2,di,214,1,4,4,2.1563958226470277
2,di,214,4,3,3,1.5529969007475302
2,di,214,2,4,2,1.1262893814127892
2,di,214,2,1,1,1.4179278103401884
2,di,214,2,3,2,1.0664495099335909
2,di,214,2,4,2,2.197243888513185
2,di,214,1,4,1,1.3065001727081835
2,di,214,4,1,4,1.2739766975864768
2,di,214,1,2,1,1.2796568556223065
2,di,214,2,1,1,2.0748914884752594
2,di,214,1,2,1,1.2233738984214142
2,di,214,1,2,1,2.5425583675387315
2,di,214,4,3,3,1.7652289013494737
2,di,214,2,4,2,1.0941716318484396
2,di,214,4,1,4,2.4153087154845707
2,di,214,1,2,1,1.1882178576197475
2,di,214,4,3,3,1.3777430175687186
2,di,214,3,4,4,1.798824903264176
2,di,214,2,4,1,1.7622050431091338
2,di,214,2,3,2,1.6938725174986757
2,di,214,1,4,1,1.3896360689541325
2,di,214,4,2,4,1.5445157929789275
2,di,214,3,1,3,1.8013535517966375
2,di,214,2,4,4,2.0966967523563653
2,di,214,2,4,2,1.7906799223273993
2,di,214,2,3,2,1.2031139197060838
2,di,214,3,1,3,1.4579310689587146
2,di,214,1,4,1,1.3464274179423228
2,di,214,4,3,4,2.0477428347803652
2,di,214,3,1,3,2.1677205375162885
2,di,214,4,2,1,1.9652670043287799
2,di,214,3,2,3,1.6053839302621782
2,di,214,4,2,4,1.4456438383786008
2,di,214,4,1,1,1.338481932063587
