experiment,condition,sub_name,left,right,response,RT
1,hum,106,1,2,1,2.180194442806169
1,hum,106,1,2,1,1.8356171852756233
1,hum,106,3,4,4,2.0675642561891436
1,hum,106,4,2,4,2.0371325331198022
1,hum,106,1,2,2,4.113870150797084
1,hum,106,2,3,1,1.440493907304699
1,hum,106,4,2,2,3.177465944285359
1,hum,106,2,4,2,1.8193821860822936
1,hum,106,2,3,2,2.583317189637455
1,hum,106,2,1,2,1.4109891103817063
1,hum,106,3,4,4,1.3683588467883965
1,hum,106,1,4,1,1.7944004038708954
1,hum,106,1,2,2,2.9314318410997657
1,hum,106,4,3,4,2.4699557256462867
1,hum,106,2,3,2,1.219099040616129
1,hum,106,3,2,2,3.1453641504740517
1,hum,106,2,3,2,2.156195394749375
1,hum,106,2,3,2,2.2126451970470953
1,hum,106,2,4,2,2.334300885999255
1,hum,106,1,4,4,3.6510607370764774
1,hum,106,4,1,4,2.7609181636471476
1,hum,106,2,1,4,3.5482216488908307
1,hum,106,2,3,2,1.8859547275169461
1,hum,106,2,1,2,1.984041154237275
1,hum,106,4,1,4,1.7644966117477452
1,hum,106,2,3,2,1.4800755781598127
1,hum,106,4,2,4,1.5087451793424407
1,hum,106,2,1,2,1.2733986308430758
1,hum,106,4,3,4,1.2473542512889253
1,hum,106,1,3,1,3.095505145882271
1,hum,106,4,2,2,1.275299952018031
1,hum,106,3,1,4,1.3300299695438298
1,hum,106,2,3,2,1.1941749908273778
1,hum,106,3,4,4,2.749199122981736
1,hum,106,2,1,2,1.5109566519295186
1,hum,106,4,1,4,2.6270289739786676
1,hum,106,3,2,2,1.6844271917161677
1,hum,106,3,1,4,1.520369923715407
1,hum,106,1,4,4,1.5935752792320272
1,hum,106,3,2,4,2.319035150065247
1,hum,106,3,2,4,3.514168499137668
1,hum,106,4,3,4,1.2995462872931967
1,hum,106,1,2,1,1.6963098075848393
1,hum,106,3,1,4,1.1254262577313057
1,hum,106,2,4,4,1.7430701846660668
1,hum,106,1,2,1,1.3824532559792715
1,hum,106,1,2,1,1.1566396136804542
1,hum,106,2,3,2,1.4337068193544837
1,hum,106,1,3,1,1.410158725679139
1,hum,106,2,3,2,1.3878220507067454
1,hum,106,4,1,4,1.7142854393696325
1,hum,106,2,4,1,1.3649183150337194
1,hum,106,2,1,2,1.3012186031828605
1,hum,106,2,1,2,1.1580771510452905
1,hum,106,3,1,4,1.3767101627036027
1,hum,106,3,4,4,1.412447816303029
1,hum,106,3,1,4,1.4164124301769334
1,hum,106,1,3,4,1.311350002180916
1,hum,106,3,2,4,1.4454961011379055
1,hum,106,4,2,4,1.7786625449989515
1,hum,106,3,1,4,1.4741794939563988
1,hum,106,2,1,2,2.5404508645751775
1,hum,106,1,3,4,1.5238402838895126
1,hum,106,4,3,4,1.1431276605035237
1,hum,106,1,3,4,3.5827934282533533
1,hum,106,1,4,1,4.222422824577734
1,hum,106,3,4,4,2.1060454828857473
1,hum,106,4,1,4,1.617452447726464
1,hum,106,2,3,2,2.793081217974759
1,hum,106,3,1,4,2.372963007628641
1,hum,106,4,3,4,2.5602200503417407
1,hum,106,1,3,1,2.23297599100988
1,hum,106,1,3,1,1.6562326000894245
1,hum,106,4,2,4,3.1643289311286935
1,hum,106,1,4,4,1.9652774748610682
1,hum,106,1,4,4,1.2739172604542546
1,hum,106,1,4,4,1.2331533578471863
1,hum,106,2,1,2,1.2875745069013647
1,hum,106,3,2,4,2.009526812220429
1,hum,106,4,1,1,1.9898804682215996
1,hum,106,4,1,4,5.488358256634456
1,hum,106,1,3,1,2.6765216984113067
1,hum,106,4,1,4,1.576721580893718
1,hum,106,1,4,4,3.5636095851223217
1,hum,106,4,1,1,2.2348875757252245
