experiment,condition,sub_name,left,right,response,RT
2,gi,217,1,2,3,3.012610247853445
2,gi,217,1,2,2,4.08227884437656
2,gi,217,3,4,4,1.3913044872751925
2,gi,217,4,2,4,1.469177747174399
2,gi,217,1,2,2,1.4621899436751846
2,gi,217,2,3,2,1.2198744587949477
2,gi,217,4,2,4,1.427257661591284
2,gi,217,2,4,4,1.6253129950200673
2,gi,217,2,3,2,1.3406845270073973
2,gi,217,2,1,2,1.3089560439111665
2,gi,217,3,4,4,1.251058658468537
2,gi,217,1,4,4,1.4448145699861925
2,gi,217,1,2,2,1.5556027032725979
2,gi,217,4,3,4,1.2976986466092058
2,gi,217,2,3,2,1.3538284740643576
2,gi,217,3,2,2,1.5291268597356975
2,gi,217,2,3,2,1.164296291593928
2,gi,217,2,3,2,1.0071828089712653
2,gi,217,2,4,2,1.5326603719731793
2,gi,217,1,4,4,1.746628537948709
2,gi,217,4,1,2,1.2093355027609505
2,gi,217,2,1,2,1.4213202577084303
2,gi,217,2,3,2,1.3156599989451934
2,gi,217,2,1,2,1.3411592113843653
2,gi,217,4,1,4,1.5501114385551773
2,gi,217,2,3,2,1.1887739703524858
2,gi,217,4,2,4,1.6482040090777446
2,gi,217,2,1,2,1.1810423877032008
2,gi,217,4,3,4,1.2380202324711718
2,gi,217,1,3,1,1.3961533243418671
2,gi,217,4,2,4,2.3592488568392582
2,gi,217,3,1,1,1.5586025162774604
2,gi,217,2,3,2,1.1729660173878074
2,gi,217,3,4,4,1.452285396924708
2,gi,217,2,1,2,1.296938189334469
2,gi,217,4,1,4,1.4672485399642028
2,gi,217,3,2,2,1.5119423219875898
2,gi,217,3,1,1,1.3954352037981153
2,gi,217,1,4,1,1.6187572184717283
2,gi,217,3,2,2,1.637454010953661
2,gi,217,3,2,2,1.2508011101162992
2,gi,217,4,3,4,1.3578764415578917
2,gi,217,1,2,2,1.2376898777729366
2,gi,217,3,1,1,1.4432891652104445
2,gi,217,2,4,1,1.797073698922759
2,gi,217,1,2,2,1.2882861038378906
2,gi,217,1,2,2,1.284541228757007
2,gi,217,2,3,2,1.3277198694704566
2,gi,217,1,3,1,1.4481514731014613
2,gi,217,2,3,2,1.5824121088080574
2,gi,217,4,1,4,1.5049824222514872
2,gi,217,2,4,2,1.6106064381892793
2,gi,217,2,1,2,1.6808504291984718
2,gi,217,2,1,2,1.1927988451207057
2,gi,217,3,1,1,1.4349318330641836
2,gi,217,3,4,4,1.4259468270174693
2,gi,217,3,1,1,1.4426406436832622
2,gi,217,1,3,1,1.41585176505032
2,gi,217,3,2,2,1.4614019034488592
2,gi,217,4,2,4,2.099687574285781
2,gi,217,3,1,1,1.3234698403975926
2,gi,217,2,1,2,1.217057463421952
2,gi,217,1,3,1,1.4633311106590554
2,gi,217,4,3,4,1.4291871895547956
2,gi,217,1,3,1,1.381609378993744
2,gi,217,1,4,1,1.8507082259457093
2,gi,217,3,4,4,1.4570720118645113
2,gi,217,4,1,4,1.4528104363707826
2,gi,217,2,3,2,1.4876513096678536
2,gi,217,3,1,1,1.2594131040677894
2,gi,217,4,3,4,1.3089416109141894
2,gi,217,1,3,2,1.2273568321252242
2,gi,217,1,3,1,1.3027591672725976
