experiment,condition,sub_name,left,right,response,RT
2,gi,213,1,3,3,1.6648892786179204
2,gi,213,1,3,1,1.575066126853926
2,gi,213,1,3,1,1.137975240155356
2,gi,213,2,4,4,1.6067556996422354
2,gi,213,4,3,1,1.8806948715937324
2,gi,213,1,4,1,1.4042383408232126
2,gi,213,1,3,3,2.085237971652532
2,gi,213,1,4,1,1.5739807708596345
2,gi,213,4,3,4,3.5586725685570855
2,gi,213,1,2,1,1.4359599867893849
2,gi,213,1,4,1,1.6192401802400127
2,gi,213,3,4,3,1.2866856903128792
2,gi,213,4,1,1,1.7381306025781669
2,gi,213,2,1,1,1.1629961598664522
2,gi,213,1,3,3,1.7428844875248615
2,gi,213,1,4,1,1.340358853834914
2,gi,213,3,4,4,1.769069021771429
2,gi,213,1,4,1,3.4894025442481507
2,gi,213,2,3,3,1.446205760265002
2,gi,213,1,2,1,1.0244820904918015
2,gi,213,3,1,3,1.1233623841253575
2,gi,213,2,3,2,1.155992983665783
2,gi,213,4,3,4,1.332918520347448
2,gi,213,4,1,1,1.5901161401416175
2,gi,213,3,2,3,1.5828980737132952
2,gi,213,4,3,4,1.274713097489439
2,gi,213,2,3,1,1.2176122745440807
2,gi,213,4,1,4,1.5221094778971747
2,gi,213,2,4,1,1.210131849598838
2,gi,213,2,4,4,1.3536839721782599
2,gi,213,2,1,1,1.2695791455043945
2,gi,213,3,4,4,1.5301729930506554
2,gi,213,3,1,3,1.8649652278691065
2,gi,213,1,3,2,1.5097584217146505
2,gi,213,4,2,4,1.9999704927031416
2,gi,213,4,1,4,1.335650512803113
2,gi,213,1,3,3,1.470836028805934
2,gi,213,4,2,1,1.4104531585762743
2,gi,213,4,1,1,1.603733124298742
2,gi,213,3,1,3,1.452555606054375
2,gi,213,1,2,1,1.7003160169406328
2,gi,213,3,2,3,2.1415629447146785
2,gi,213,1,4,4,1.705952876189258
2,gi,213,3,4,4,2.122002802527277
2,gi,213,1,4,1,2.120032547856681
2,gi,213,4,1,4,2.299565312336199
2,gi,213,2,3,2,2.771586123999441
2,gi,213,2,4,1,1.2886912255198695
2,gi,213,3,4,3,1.374528323969571
2,gi,213,4,3,3,0.9970508722180966
2,gi,213,4,2,4,1.012905280571431
2,gi,213,4,2,4,1.5821119603933766
2,gi,213,3,4,4,1.528552015137393
2,gi,213,4,2,1,0.8693063311511651
2,gi,213,2,3,2,1.1259705741540529
2,gi,213,2,3,2,1.0339314872398973
2,gi,213,4,3,4,1.4519895146368071
2,gi,213,2,4,1,1.6418379721289966
2,gi,213,1,3,2,1.3021491267718375
2,gi,213,2,4,2,1.9153393453452736
2,gi,213,4,3,4,1.7420986949291546
2,gi,213,1,2,2,1.3511716809298377
2,gi,213,3,4,3,2.6277835099608637
2,gi,213,2,1,1,1.1612417575961445
2,gi,213,4,3,4,1.3075839250523131
2,gi,213,4,2,1,2.517720585630741
2,gi,213,2,1,1,0.9592391731275711
2,gi,213,4,3,1,0.7288537595013622
2,gi,213,1,2,1,1.3211457433644682
2,gi,213,3,2,3,1.7148666509892792
2,gi,213,2,4,4,1.9384887957130559
2,gi,213,3,4,4,1.5909660790930502
2,gi,213,3,2,2,2.3106510820798576
2,gi,213,3,1,1,2.0909110736101866
2,gi,213,3,1,1,1.2729853159398772
2,gi,213,1,3,3,1.8862095320655499
2,gi,213,3,2,3,1.3887344922113698
2,gi,213,1,3,1,1.3787946967640892
2,gi,213,3,4,1,1.017767572804587
2,gi,213,4,1,1,1.2239136898133438
2,gi,213,2,4,4,1.446713799261488
2,gi,213,2,4,4,2.0209845115605276
2,gi,213,3,1,1,1.7495444808155298
2,gi,213,4,2,2,1.4978044312738348
2,gi,213,3,2,2,0.9661458091286477
2,gi,213,3,4,4,1.4919754537404515
2,gi,213,3,4,4,1.3343371165683493
2,gi,213,1,2,1,1.1527115778590087
2,gi,213,3,2,3,1.594633966567926
2,gi,213,3,4,4,3.608407147054095
2,gi,213,2,4,1,1.1397796765668318
2,gi,213,2,1,1,1.172972518746974
2,gi,213,1,4,4,1.3484332738735247
2,gi,213,1,2,1,1.0909601455787197
2,gi,213,4,2,4,1.6762367654009722
2,gi,213,2,3,3,1.5767348937515635
2,gi,213,3,4,4,1.5513047204294708
2,gi,213,1,3,1,2.5665045154455584
2,gi,213,2,3,1,1.3073693555779755
2,gi,213,1,2,1,1.2676274932455271
2,gi,213,4,2,4,1.5191943476675078
2,gi,213,2,1,1,1.140797358180862
2,gi,213,1,2,1,1.3837041365623008
2,gi,213,1,2,1,1.2856750648352318
2,gi,213,2,3,3,1.6481935910705943
2,gi,213,4,3,2,1.0356281578133348
2,gi,213,4,2,4,1.210941055614967
2,gi,213,3,4,4,1.9403121553186793
2,gi,213,4,1,4,0.566506439819932
2,gi,213,1,2,1,1.2039250501256902
2,gi,213,1,4,1,1.4118961304193363
2,gi,213,3,2,3,1.1896797526278533
2,gi,213,2,3,3,1.625083911436377
2,gi,213,3,2,1,1.052075278304983
2,gi,213,3,2,1,0.8506256352411583
2,gi,213,4,3,3,1.33760569311562
2,gi,213,3,1,1,1.383590597572038
2,gi,213,2,1,1,0.9869009975227527
2,gi,213,1,2,1,1.379289585747756
2,gi,213,3,2,2,1.182756438589422
2,gi,213,1,3,3,1.6531947601179127
2,gi,213,1,4,4,1.4183370639802888
2,gi,213,2,4,3,3.245917165913852
2,gi,213,4,1,4,1.3426174463238567
2,gi,213,3,2,2,2.1360377000819426
2,gi,213,3,1,1,2.1939127693185583
2,gi,213,2,1,1,1.7201561578258406
2,gi,213,3,1,3,2.8446022943244316
2,gi,213,4,2,1,1.329967468191171
2,gi,213,2,4,4,1.2386076909606345
2,gi,213,2,3,2,1.6733020705578383
2,gi,213,2,4,4,1.5345625267946161
2,gi,213,2,1,1,1.532483223330928
2,gi,213,4,3,3,1.4241891341807786
2,gi,213,4,2,1,1.3517666381958406
2,gi,213,2,1,1,1.1711029738071375
2,gi,213,4,3,3,1.3172100449446589
2,gi,213,1,2,1,1.2743368792289402
2,gi,213,3,2,4,1.4672217035258655
2,gi,213,2,1,1,1.1790853438142221
2,gi,213,1,3,3,1.3259897539101075
2,gi,213,4,1,4,1.2737563549017068
2,gi,213,1,3,4,1.383794582914561
2,gi,213,2,4,4,1.6335300594510045
2,gi,213,1,4,1,1.054005441517802
2,gi,213,1,3,1,1.7212578711623792
2,gi,213,4,2,2,1.0613899676827714
2,gi,213,3,1,4,0.9476783997670282
2,gi,213,3,1,3,1.4776865367603023
2,gi,213,1,4,4,1.5070860853302293
2,gi,213,2,3,1,1.5728357587649953
2,gi,213,3,1,3,1.658833543799119
2,gi,213,3,2,3,4.642526583047584
2,gi,213,3,2,3,1.3335612666560337
2,gi,213,4,1,2,1.6418578574957792
2,gi,213,1,4,1,1.7870056201936677
2,gi,213,1,4,1,1.5914936827030033
2,gi,213,4,2,1,0.8282869945396669
2,gi,213,3,1,3,1.2838420832704287
2,gi,213,2,4,4,1.44410143973073
2,gi,213,2,1,1,1.3820828379539307
2,gi,213,4,1,1,1.615114929387346
2,gi,213,2,3,3,1.6270188856578898
2,gi,213,2,1,1,1.3660084076691419
2,gi,213,4,1,1,1.9076318423612975
2,gi,213,4,2,4,1.4185599724878557
2,gi,213,2,1,1,1.105094149184879
2,gi,213,2,1,1,1.1404554582259152
2,gi,213,1,2,1,1.014094874379225
2,gi,213,2,3,3,1.7101698562910315
2,gi,213,1,2,1,1.1959792435227428
2,gi,213,3,1,3,2.0389272038592026
2,gi,213,3,1,3,1.215965958806919
2,gi,213,4,1,4,1.8754236464737915
2,gi,213,4,3,1,2.0561415145057254
2,gi,213,2,3,2,2.2424715454981197
2,gi,213,1,4,2,3.1077571843052283
2,gi,213,4,3,3,1.2483839132473804
2,gi,213,4,1,4,1.332354994781781
2,gi,213,3,4,1,1.6233458664501086
