experiment,condition,sub_name,left,right,response,RT
2,hum,221,1,2,2,1.7912370332633145
2,hum,221,1,2,2,1.5443461259710602
2,hum,221,3,4,4,2.5049926696228795
2,hum,221,4,2,4,1.483349695976358
2,hum,221,1,2,2,1.50417576613836
2,hum,221,2,3,2,1.8347426817636006
2,hum,221,4,2,4,1.6811891832621768
2,hum,221,2,4,4,1.4196312163257971
2,hum,221,2,3,2,1.07675622246461
2,hum,221,2,1,1,1.4117441035341471
2,hum,221,3,4,4,1.6472384521039203
2,hum,221,1,4,4,1.2498044338426553
2,hum,221,1,2,1,1.714545277878642
2,hum,221,4,3,4,1.2181985720526427
2,hum,221,2,3,2,1.3795878661912866
2,hum,221,3,2,2,1.292031966673676
2,hum,221,2,3,2,1.3450245375861414
2,hum,221,2,3,2,1.223570506903343
2,hum,221,2,4,4,1.5499970974051394
2,hum,221,1,4,4,1.428923775209114
2,hum,221,4,1,4,1.1525047058821656
2,hum,221,2,1,1,1.7112260257126763
2,hum,221,2,3,2,1.0824755097273737
2,hum,221,2,1,1,2.275058525498025
2,hum,221,4,1,4,1.3037290509673767
2,hum,221,2,3,2,1.261107338941656
2,hum,221,4,2,4,1.3796921040047891
2,hum,221,2,1,1,1.6268921965966001
2,hum,221,4,3,4,1.5044756502611563
2,hum,221,1,3,1,2.9486264826264232
2,hum,221,4,2,4,1.5451819526497275
2,hum,221,3,1,1,1.582097206672188
2,hum,221,2,3,2,2.000635369506199
2,hum,221,3,4,4,1.8829399933456443
2,hum,221,2,1,1,1.759079512907192
2,hum,221,4,1,4,1.6565399915562011
2,hum,221,3,2,2,1.3663599295541644
2,hum,221,3,1,1,1.9565992306452245
2,hum,221,1,4,4,1.3272223257808946
2,hum,221,3,2,2,1.3280324939405546
2,hum,221,3,2,2,1.0900871139601804
2,hum,221,4,3,4,1.1890132722328417
2,hum,221,1,2,2,1.053251080622431
2,hum,221,3,1,2,1.4174916152842343
2,hum,221,2,4,4,1.2891771340509877
2,hum,221,1,2,1,1.980386937095318
2,hum,221,1,2,1,1.314029028173536
2,hum,221,2,3,2,1.3165448474464938
2,hum,221,1,3,2,1.8973568822839297
2,hum,221,2,3,2,2.059149977634661
2,hum,221,4,1,4,1.138918832759373
2,hum,221,2,4,4,1.4566904788371176
2,hum,221,2,1,1,2.267408112762496
2,hum,221,2,1,1,1.531347191776149
2,hum,221,3,1,1,1.7528842597967014
2,hum,221,3,4,4,2.1073293282533996
2,hum,221,3,1,1,2.4024537897785194
2,hum,221,1,3,1,2.396066739107482
2,hum,221,3,2,2,1.5159209601697512
2,hum,221,4,2,4,1.6270262624602765
2,hum,221,3,1,1,1.9467774644726887
2,hum,221,2,1,1,2.038970502675511
2,hum,221,1,3,1,1.3486196189769544
2,hum,221,4,3,4,1.3352758981636725
2,hum,221,1,3,1,1.886071938148234
2,hum,221,1,4,4,1.308377415232826
